item	type	count
WORD/capitale	word	113857
WORD/1983	word	113256
WORD/mal	word	113152
WORD/russe	word	113041
WORD/meilleure	word	112938
WORD/moyenne	word	112921
WORD/heures	word	112313
WORD/collection	word	112064
WORD/double	word	112064
WORD/révolution	word	112019
WORD/aucune	word	111982
WORD/di	word	111867
WORD/09	word	111793
WORD/édition	word	111679
WORD/met	word	111504
WORD/ensemble	word	111357
WORD/naissance	word	111295
WORD/andré	word	111250
WORD/course	word	111110
WORD/huit	word	110662
WORD/nouveaux	word	110593
WORD/italien	word	110579
WORD/40	word	110534
WORD/état	word	110475
WORD/lettres	word	110446
WORD/passage	word	110362
WORD/royal	word	110222
WORD/1981	word	110214
WORD/supérieure	word	110024
WORD/donnée	word	109999
WORD/william	word	109756
WORD/droits	word	109703
WORD/espèces	word	109629
WORD/europe	word	109625
WORD/dame	word	109608
WORD/position	word	109232
WORD/ailleurs	word	109182
WORD/services	word	109141
WORD/forces	word	109022
WORD/rapidement	word	108768
WORD/nuit	word	108482
WORD/maître	word	108428
WORD/groupes	word	108298
WORD/combat	word	108200
WORD/qualité	word	108140
WORD/savoir	word	108123
WORD/chemin	word	107882
WORD/port	word	107730
WORD/mieux	word	107596
WORD/télévision	word	107574
WORD/100	word	107326
WORD/lien	word	107200
WORD/villes	word	107175
WORD/générale	word	107121
WORD/1976	word	106889
WORD/hockey	word	106825
WORD/1979	word	106726
WORD/james	word	106597
WORD/maire	word	106587
WORD/chine	word	106494
WORD/mot	word	106468
WORD/von	word	106432
WORD/1972	word	106270
WORD/chambre	word	106244
WORD/thomas	word	106115
WORD/reçoit	word	105991
WORD/ancienne	word	105902
WORD/voïvodie	word	105639
WORD/titres	word	105579
WORD/1978	word	105164
WORD/1936	word	105164
WORD/presse	word	105127
WORD/1977	word	105098
WORD/el	word	104995
WORD/pologne	word	104886
WORD/retrouve	word	104878
WORD/proche	word	104726
WORD/mètres	word	104699
WORD/concernant	word	104609
WORD/1954	word	104562
WORD/championnats	word	104455
WORD/composé	word	104437
WORD/troupes	word	104290
WORD/juste	word	104246
WORD/nicolas	word	104234
WORD/main	word	104134
WORD/richard	word	103927
WORD/1946	word	103918
WORD/prise	word	103904
WORD/pourrait	word	103753
WORD/côte	word	103722
WORD/pris	word	103665
WORD/comité	word	103596
WORD/créer	word	103569
WORD/montre	word	103473
WORD/faisant	word	103467
WORD/importante	word	103355
WORD/1945	word	103279
WORD/1974	word	103253
WORD/right	word	103064
WORD/cité	word	102996
WORD/rejoint	word	102964
WORD/for	word	102898
WORD/station	word	102895
WORD/avis	word	102735
WORD/2018	word	102484
WORD/bande	word	102463
WORD/coup	word	102338
WORD/époque	word	102281
WORD/vainqueur	word	102128
WORD/george	word	102100
WORD/départ	word	102090
WORD/1950	word	102080
WORD/palais	word	102060
WORD/1973	word	101882
WORD/programme	word	101853
WORD/politiques	word	101753
WORD/salle	word	101499
WORD/russie	word	101445
WORD/vient	word	101367
WORD/particulièrement	word	101353
WORD/monuments	word	100942
WORD/centrale	word	100922
WORD/vallée	word	100755
WORD/bretagne	word	100387
WORD/carte	word	100101
WORD/r	word	100080
WORD/information	word	100054
WORD/avaient	word	99937
WORD/dieu	word	99889
WORD/stade	word	99768
WORD/technique	word	99613
WORD/populaire	word	99529
WORD/mission	word	99504
WORD/tels	word	99326
WORD/produits	word	99151
WORD/votre	word	98898
WORD/auprès	word	98802
WORD/total	word	98799
WORD/f	word	98799
WORD/situation	word	98571
WORD/source3	word	98528
WORD/belge	word	98525
WORD/critique	word	98218
WORD/défense	word	98195
WORD/éléments	word	98102
WORD/parce	word	97771
