item	type	count
WORD/p	word	49295
WORD/zes	word	49252
WORD/eerder	word	49192
WORD/bron	word	49162
WORD/28	word	48999
WORD/delen	word	48895
WORD/parijs	word	48774
WORD/president	word	48696
WORD/t	word	48692
WORD/park	word	48683
WORD/leden	word	48677
WORD/onderdeel	word	48584
WORD/isbn	word	48571
WORD/generaal	word	48465
WORD/noorden	word	48432
WORD/actief	word	48333
WORD/volgde	word	48312
WORD/bedrijf	word	48307
WORD/leiding	word	48289
WORD/york	word	48270
WORD/engelse	word	47941
WORD/meest	word	47627
WORD/werkte	word	47596
WORD/geschreven	word	47548
WORD/miljoen	word	47513
WORD/zouden	word	47319
WORD/26	word	47313
WORD/valt	word	47084
WORD/kwamen	word	47058
WORD/1970	word	47036
WORD/langs	word	46941
WORD/1982	word	46920
WORD/onderzoek	word	46875
WORD/burgemeester	word	46858
WORD/geschiedenis	word	46793
WORD/bevolkingsdichtheid	word	46786
WORD/states	word	46741
WORD/27	word	46672
WORD/gebouw	word	46659
WORD/saint	word	46645
WORD/bestuurslaag	word	46617
WORD/minister	word	46610
WORD/bestaande	word	46576
WORD/1983	word	46542
WORD/sterk	word	46384
WORD/brussel	word	46319
WORD/gehouden	word	46307
WORD/maria	word	46298
WORD/internationale	word	46279
WORD/vierde	word	46182
WORD/zuiden	word	46157
WORD/versie	word	46101
WORD/belgisch	word	45980
WORD/wetenschappelijk	word	45970
WORD/et	word	45964
WORD/vrouwen	word	45963
WORD/von	word	45926
WORD/politicus	word	45922
WORD/regering	word	45922
WORD/belangrijkste	word	45896
WORD/buiten	word	45739
WORD/center	word	45735
WORD/bijna	word	45679
WORD/toernooi	word	45611
WORD/bevindt	word	45552
WORD/tegenwoordig	word	45387
WORD/1981	word	45330
WORD/county	word	45303
WORD/wilde	word	45262
WORD/moeten	word	45229
WORD/spelers	word	45144
WORD/1972	word	45011
WORD/altijd	word	44986
WORD/jean	word	44879
WORD/1977	word	44782
WORD/eindigde	word	44777
WORD/vormen	word	44604
WORD/gedeelte	word	44585
WORD/31	word	44562
WORD/kilometer	word	44517
WORD/oud	word	44340
WORD/1979	word	44284
WORD/deed	word	44190
WORD/doen	word	44177
WORD/moeder	word	44159
WORD/korte	word	44020
WORD/verscheen	word	43925
WORD/rode	word	43923
WORD/liet	word	43813
WORD/doorverwijzing	word	43717
WORD/for	word	43704
WORD/zodat	word	43695
WORD/29	word	43552
WORD/sommige	word	43508
WORD/1978	word	43455
WORD/dienst	word	43164
WORD/geven	word	43138
WORD/iii	word	42977
WORD/kampioen	word	42971
WORD/geeft	word	42960
WORD/kasteel	word	42858
WORD/iets	word	42845
WORD/1976	word	42765
WORD/daarom	word	42749
WORD/meerdere	word	42668
WORD/50	word	42604
WORD/daarmee	word	42598
WORD/hoogste	word	42586
WORD/rijk	word	42540
WORD/dagen	word	42506
WORD/1974	word	42491
WORD/geweest	word	42414
WORD/waarmee	word	42387
WORD/wie	word	42264
WORD/verloop	word	42234
WORD/gewone	word	42147
WORD/nooit	word	42147
WORD/city	word	41862
WORD/klein	word	41802
WORD/e	word	41744
WORD/hen	word	41690
WORD/utrecht	word	41654
WORD/namen	word	41580
WORD/vrij	word	41557
WORD/studeerde	word	41495
WORD/basis	word	41360
WORD/afl	word	41324
WORD/gemeenten	word	41273
WORD/je	word	41057
