item	type	count
WORD/partido	word	71346
WORD/ficou	word	71346
WORD/quase	word	71337
WORD/john	word	71148
WORD/tal	word	71111
WORD/dentro	word	70877
WORD/república	word	70233
WORD/mar	word	69666
WORD/federal	word	69633
WORD/tudo	word	69355
WORD/seleção	word	69340
WORD/posição	word	69335
WORD/alemanha	word	69233
WORD/feito	word	69154
WORD/longo	word	69119
WORD/importante	word	69002
WORD/portuguesa	word	68942
WORD/tanto	word	68863
WORD/1996	word	68778
WORD/lei	word	68772
WORD/idade	word	68693
WORD/milhões	word	68514
WORD/obras	word	68454
WORD/quanto	word	68163
WORD/vai	word	67837
WORD/pedro	word	67756
WORD/diferentes	word	67657
WORD/próprio	word	67553
WORD/têm	word	66992
WORD/exército	word	66974
WORD/ouro	word	66780
WORD/divisão	word	66716
WORD/isto	word	66714
WORD/condado	word	66586
WORD/bom	word	66372
WORD/nada	word	66338
WORD/junto	word	66333
WORD/campeão	word	66304
WORD/departamento	word	66180
WORD/média	word	65981
WORD/original	word	65911
WORD/conhecida	word	65900
WORD/membros	word	65839
WORD/deste	word	65520
WORD/texto	word	65358
WORD/língua	word	65062
WORD/francisco	word	64905
WORD/neste	word	64834
WORD/arte	word	64634
WORD/total	word	64452
WORD/1997	word	64405
WORD/atual	word	64108
WORD/on	word	64091
WORD/papel	word	64008
WORD/construção	word	63979
WORD/corpo	word	63906
WORD/asteroide	word	63720
WORD/nível	word	63640
WORD/central	word	63540
WORD/p	word	63340
WORD/revista	word	63290
WORD/1990	word	63125
WORD/francesa	word	62966
WORD/principalmente	word	62854
WORD/homem	word	62701
WORD/último	word	62402
WORD/sede	word	62397
WORD/single	word	62278
WORD/31	word	62099
WORD/santo	word	61921
WORD/origem	word	61899
WORD/pontos	word	61895
WORD/personagem	word	61664
WORD/social	word	61466
WORD/fase	word	61023
WORD/prêmio	word	60885
WORD/los	word	60840
WORD/costa	word	60585
WORD/possível	word	60563
WORD/jogador	word	60224
WORD/fato	word	60204
WORD/nunca	word	60033
WORD/time	word	59987
WORD/new	word	59868
WORD/site	word	59853
WORD/data	word	59811
WORD/movimento	word	59537
WORD/existe	word	59351
WORD/território	word	59259
WORD/r	word	59167
WORD/filha	word	58901
WORD/primeiros	word	58878
WORD/união	word	58755
WORD/pessoa	word	58620
WORD/europa	word	58591
WORD/1992	word	58482
WORD/festival	word	58471
WORD/será	word	58447
WORD/mãe	word	58437
WORD/cultura	word	58347
WORD/força	word	58238
WORD/político	word	58039
WORD/vitória	word	57917
WORD/1995	word	57818
WORD/lá	word	57743
WORD/diversos	word	57534
WORD/único	word	57437
WORD/censo	word	57320
WORD/criação	word	57258
WORD/acima	word	57039
WORD/espaço	word	57026
WORD/episódio	word	56900
WORD/conjunto	word	56750
WORD/sociedade	word	56626
WORD/usuário	word	56459
WORD/rock	word	56199
WORD/novamente	word	55954
WORD/diversas	word	55848
WORD/espanha	word	55617
WORD/seguintes	word	55342
WORD/metros	word	55291
WORD/encontra	word	55290
WORD/esquerda	word	55267
WORD/filmes	word	55261
WORD/estilo	word	55127
WORD/chamada	word	55029
WORD/disse	word	55024
WORD/seis	word	54955
WORD/bairro	word	54916
WORD/1994	word	54714
WORD/somente	word	54393
WORD/musical	word	54328
WORD/membro	word	54098
WORD/batalha	word	54057
WORD/deu	word	53954
WORD/estes	word	53944
WORD/j	word	53869
WORD/professor	word	53842
WORD/localizado	word	53766
WORD/americana	word	53595
WORD/municipal	word	53536
WORD/considerado	word	53508
WORD/meses	word	53475
WORD/império	word	53458
WORD/disco	word	53426
WORD/cruz	word	53352
WORD/criado	word	52992
WORD/diretor	word	52992
WORD/paris	word	52980
WORD/presente	word	52912
WORD/fonte	word	52821
WORD/usado	word	52724
WORD/deus	word	52722
WORD/right	word	52713
WORD/superior	word	52698
WORD/problemas	word	52648
WORD/grupos	word	52623
WORD/silva	word	52549
WORD/última	word	52464
WORD/momento	word	52443
WORD/chegou	word	52437
WORD/diz	word	52434
WORD/cidades	word	52387
WORD/luta	word	52372
WORD/100	word	52280
WORD/maiores	word	52221
WORD/geralmente	word	52047
WORD/nesta	word	51953
WORD/teatro	word	51925
WORD/estar	word	51882
WORD/instituto	word	51867
WORD/única	word	51836
WORD/meu	word	51829
WORD/páginas	word	51802
WORD/minha	word	51789
WORD/liga	word	51758
WORD/cinema	word	51687
WORD/direita	word	51666
WORD/modo	word	51642
WORD/popular	word	51630
WORD/participação	word	51592
WORD/existem	word	51195
WORD/vista	word	51122
WORD/terceiro	word	51089
WORD/1980	word	50914
WORD/vice	word	50862
WORD/profissional	word	50690
WORD/antiga	word	50595
WORD/antigo	word	50575
WORD/causa	word	50570
WORD/direção	word	50557
WORD/parece	word	50501
WORD/nossa	word	50430
WORD/especial	word	50340
WORD/mulher	word	50338
WORD/lançamento	word	50319
WORD/irmão	word	50275
WORD/museu	word	50217
WORD/filhos	word	50183
WORD/própria	word	50120
WORD/oeste	word	50047
WORD/ator	word	49991
WORD/algum	word	49962
WORD/club	word	49952
WORD/unido	word	49913
WORD/frente	word	49871
WORD/apoio	word	49857
WORD/santos	word	49802
WORD/participou	word	49773
WORD/cobertos	word	49738
WORD/termo	word	49713
WORD/administrativa	word	49677
WORD/francês	word	49591
WORD/forte	word	49391
WORD/autor	word	49360
WORD/modelo	word	49302
WORD/associação	word	49253
WORD/boa	word	49226
WORD/espécies	word	49107
WORD/alemão	word	49061
WORD/world	word	49024
WORD/serviço	word	48967
WORD/estação	word	48673
WORD/conteúdo	word	48644
WORD/fica	word	48633
WORD/informações	word	48580
WORD/estende	word	48470
WORD/tão	word	48429
WORD/v	word	48335
WORD/1993	word	48298
WORD/organização	word	48285
WORD/alto	word	48265
WORD/edições	word	48251
WORD/ganhou	word	48023
WORD/problema	word	47998
WORD/1991	word	47958
WORD/homens	word	47629
WORD/comum	word	47522
WORD/personagens	word	47449
WORD/tenha	word	47375
WORD/áreas	word	47344
WORD/terceira	word	47292
WORD/estudos	word	46980
WORD/atriz	word	46969
WORD/ambos	word	46884
WORD/posteriormente	word	46872
WORD/forças	word	46848
WORD/canal	word	46814
WORD/jovem	word	46682
WORD/poderia	word	46667
WORD/formação	word	46641
WORD/novos	word	46343
WORD/algo	word	46182
WORD/ed	word	46037
WORD/tais	word	45994
WORD/japão	word	45913
WORD/conselho	word	45855
WORD/função	word	45828
WORD/nesse	word	45805
WORD/al	word	45787
WORD/criar	word	45774
WORD/50	word	45734
WORD/resultado	word	45625
WORD/descoberto	word	45590
WORD/fosse	word	45577
WORD/tema	word	45488
WORD/alta	word	45483
WORD/informação	word	45336
WORD/educação	word	45305
WORD/itália	word	45233
WORD/leste	word	45231
WORD/show	word	45197
WORD/1988	word	45176
WORD/luís	word	45047
WORD/competição	word	45032
WORD/nenhum	word	44972
WORD/cantora	word	44954
WORD/livre	word	44832
WORD/câmara	word	44783
WORD/1970	word	44594
WORD/casos	word	44551
WORD/you	word	44400
WORD/estadual	word	44340
WORD/cargo	word	44212
WORD/acho	word	44198
WORD/fazendo	word	44165
WORD/estavam	word	44138
WORD/rua	word	44103
WORD/etc	word	44037
WORD/jornal	word	44028
WORD/si	word	44018
WORD/imagem	word	43972
WORD/amor	word	43938
WORD/companhia	word	43860
WORD/escrito	word	43805
WORD/sete	word	43784
WORD/dar	word	43760
WORD/votos	word	43633
WORD/rádio	word	43601
WORD/evento	word	43576
WORD/interior	word	43481
WORD/valor	word	43481
WORD/nasceu	word	43444
WORD/baixo	word	43425
WORD/eleito	word	43254
WORD/novas	word	43243
WORD/mulheres	word	43192
WORD/general	word	43188
WORD/estúdio	word	43174
WORD/representa	word	43086
WORD/york	word	43074
WORD/1989	word	43061
WORD/1986	word	42966
WORD/minas	word	42820
WORD/zona	word	42783
WORD/torneio	word	42702
WORD/histórico	word	42642
WORD/ar	word	42639
WORD/iii	word	42635
WORD/acesso	word	42609
WORD/importantes	word	42535
WORD/conseguiu	word	42518
WORD/consenso	word	42517
WORD/el	word	42117
WORD/bastante	word	42083
WORD/dessa	word	42075
WORD/noite	word	42061
WORD/horas	word	42027
WORD/teria	word	42009
WORD/pesquisa	word	41989
WORD/livros	word	41953
WORD/feita	word	41946
WORD/trata	word	41942
