item	type	count
WORD/arbeitete	word	214560
WORD/23	word	214072
WORD/haus	word	213466
WORD/weiter	word	212637
WORD/frau	word	212225
WORD/letzten	word	212141
WORD/nun	word	211764
WORD/neu	word	211443
WORD/london	word	211252
WORD/gegründet	word	211132
WORD/fand	word	210682
WORD/land	word	210656
WORD/studierte	word	209571
WORD/anfang	word	209302
WORD/hamburg	word	209008
WORD/staaten	word	208220
WORD/mal	word	206792
WORD/unternehmen	word	205408
WORD/gesellschaft	word	204347
WORD/28	word	204243
WORD/gebiet	word	203476
WORD/1988	word	201877
WORD/26	word	201816
WORD/mitte	word	199973
WORD/frankfurt	word	199872
WORD/wobei	word	198395
WORD/sechs	word	197946
WORD/27	word	197404
WORD/folge	word	197192
WORD/franz	word	197016
WORD/georg	word	196805
WORD/region	word	196357
WORD/doch	word	195466
WORD/michael	word	195311
WORD/links	word	194778
WORD/album	word	194611
WORD/1987	word	194449
WORD/kurz	word	194325
WORD/englisch	word	194161
WORD/insbesondere	word	193121
WORD/erfolgte	word	192969
WORD/ca	word	192814
WORD/form	word	191998
WORD/hochkant	word	191484
WORD/deutsch	word	191068
WORD/tätig	word	191064
WORD/kinder	word	190664
WORD/lang	word	190537
WORD/gebäude	word	190472
WORD/1986	word	190449
WORD/regie	word	190256
WORD/folgenden	word	189848
WORD/welche	word	189745
WORD/meist	word	189731
WORD/h	word	189185
WORD/leipzig	word	188444
WORD/kreis	word	187820
WORD/welt	word	186754
WORD/1980	word	186424
WORD/1984	word	186416
WORD/vater	word	186198
WORD/1985	word	186119
WORD/museum	word	185776
WORD/verwendet	word	185033
WORD/bereich	word	184957
WORD/kommt	word	184766
WORD/stuttgart	word	184565
WORD/frankreich	word	184468
WORD/jeweils	word	183822
WORD/einwohner	word	183702
WORD/musste	word	183613
WORD/alten	word	183021
WORD/dorf	word	182942
WORD/bau	word	182832
WORD/29	word	182754
WORD/erhalten	word	181899
WORD/tochter	word	181664
WORD/weltkrieg	word	181391
WORD/100	word	181265
WORD/führt	word	180808
WORD/provinz	word	180678
WORD/anschließend	word	180163
WORD/blieb	word	180102
WORD/innerhalb	word	179531
WORD/1972	word	179400
WORD/maria	word	178165
WORD/österreich	word	178072
WORD/musik	word	177338
WORD/mannschaft	word	177336
WORD/thomas	word	176733
WORD/verschiedenen	word	176391
WORD/wechselte	word	175917
WORD/erreichte	word	175560
WORD/1970	word	175376
WORD/besonders	word	175226
WORD/1983	word	175210
WORD/norden	word	175155
WORD/übernahm	word	175000
WORD/amt	word	174947
WORD/ludwig	word	174766
WORD/oft	word	174029
WORD/1982	word	173982
WORD/je	word	173708
WORD/beispiel	word	173536
WORD/partei	word	173501
WORD/darauf	word	173362
WORD/köln	word	173090
WORD/kilometer	word	172863
WORD/gilt	word	172754
WORD/gewählt	word	171916
WORD/1974	word	171910
WORD/beide	word	171792
WORD/d	word	171312
WORD/fast	word	171237
WORD/1978	word	170974
WORD/31	word	170894
WORD/davon	word	170769
WORD/iii	word	170620
WORD/errichtet	word	170296
WORD/km	word	169753
WORD/entstand	word	169586
WORD/rolle	word	169374
WORD/1979	word	169153
WORD/verein	word	169090
WORD/1975	word	169063
WORD/1981	word	168220
WORD/zweite	word	168010
WORD/arbeit	word	167998
WORD/also	word	167517
WORD/spielen	word	167439
